"outcome","treated_iso3c","placebo_iso3c","success","error_message"
"MEU","COG","LCA",TRUE,NA
"MEU","COG","SYC",TRUE,NA
"MEU","GAB","BGD",TRUE,NA
"MEU","GAB","BRB",TRUE,NA
"MEU","GAB","BOL",TRUE,NA
"MEU","GAB","CPV",TRUE,NA
"MEU","GAB","DMA",TRUE,NA
"MEU","GAB","ECU",TRUE,NA
"MEU","GAB","GRD",TRUE,NA
"MEU","GAB","LAO",TRUE,NA
"MEU","GAB","MUS",TRUE,NA
"MEU","GAB","MAR",TRUE,NA
"MEU","GAB","LCA",TRUE,NA
"MEU","GAB","SYC",TRUE,NA
"MEU","GNQ","BGD",TRUE,NA
"MEU","GNQ","BRB",TRUE,NA
"MEU","GNQ","BOL",TRUE,NA
"MEU","GNQ","CPV",TRUE,NA
"MEU","GNQ","DMA",TRUE,NA
"MEU","GNQ","ECU",TRUE,NA
"MEU","GNQ","GRD",TRUE,NA
"MEU","GNQ","LAO",TRUE,NA
"MEU","GNQ","MUS",TRUE,NA
"MEU","GNQ","MAR",TRUE,NA
"MEU","GNQ","LCA",TRUE,NA
"MEU","GNQ","SYC",TRUE,NA
"trade_openness","BEN","BGD",TRUE,NA
"trade_openness","BEN","BTN",TRUE,NA
"trade_openness","BEN","BOL",TRUE,NA
"trade_openness","BEN","BWA",TRUE,NA
"trade_openness","BEN","CPV",TRUE,NA
"trade_openness","BEN","ECU",TRUE,NA
"trade_openness","BEN","MUS",TRUE,NA
"trade_openness","BEN","MAR",TRUE,NA
"trade_openness","BEN","NAM",TRUE,NA
"trade_openness","BEN","SYC",TRUE,NA
"trade_openness","BEN","IRQ",TRUE,NA
"trade_openness","BFA","BGD",TRUE,NA
"trade_openness","BFA","BTN",TRUE,NA
"trade_openness","BFA","BOL",TRUE,NA
"trade_openness","BFA","BWA",TRUE,NA
"trade_openness","BFA","CPV",TRUE,NA
"trade_openness","BFA","ECU",TRUE,NA
"trade_openness","BFA","MUS",TRUE,NA
"trade_openness","BFA","MAR",TRUE,NA
"trade_openness","BFA","NAM",TRUE,NA
"trade_openness","BFA","SYC",TRUE,NA
"trade_openness","BFA","IRQ",TRUE,NA
"trade_openness","CIV","BGD",TRUE,NA
"trade_openness","CIV","BTN",TRUE,NA
"trade_openness","CIV","BOL",TRUE,NA
"trade_openness","CIV","BWA",TRUE,NA
"trade_openness","CIV","CPV",TRUE,NA
"trade_openness","CIV","ECU",TRUE,NA
"trade_openness","CIV","MUS",TRUE,NA
"trade_openness","CIV","MAR",TRUE,NA
"trade_openness","CIV","NAM",TRUE,NA
"trade_openness","CIV","SYC",TRUE,NA
"trade_openness","CIV","IRQ",TRUE,NA
"trade_openness","MLI","BGD",TRUE,NA
"trade_openness","MLI","BTN",TRUE,NA
"trade_openness","MLI","BOL",TRUE,NA
"trade_openness","MLI","BWA",TRUE,NA
"trade_openness","MLI","CPV",TRUE,NA
"trade_openness","MLI","ECU",TRUE,NA
"trade_openness","MLI","MUS",TRUE,NA
"trade_openness","MLI","MAR",TRUE,NA
"trade_openness","MLI","NAM",TRUE,NA
"trade_openness","MLI","SYC",TRUE,NA
"trade_openness","MLI","IRQ",TRUE,NA
"trade_openness","NER","BGD",TRUE,NA
"trade_openness","NER","BTN",TRUE,NA
"trade_openness","NER","BOL",TRUE,NA
"trade_openness","NER","BWA",TRUE,NA
"trade_openness","NER","CPV",TRUE,NA
"trade_openness","NER","ECU",TRUE,NA
"trade_openness","NER","MUS",TRUE,NA
"trade_openness","NER","MAR",TRUE,NA
"trade_openness","NER","NAM",TRUE,NA
"trade_openness","NER","SYC",TRUE,NA
"trade_openness","NER","IRQ",TRUE,NA
"trade_openness","SEN","BGD",TRUE,NA
"trade_openness","SEN","BTN",TRUE,NA
"trade_openness","SEN","BOL",TRUE,NA
"trade_openness","SEN","BWA",TRUE,NA
"trade_openness","SEN","CPV",TRUE,NA
"trade_openness","SEN","ECU",TRUE,NA
"trade_openness","SEN","MUS",TRUE,NA
"trade_openness","SEN","MAR",TRUE,NA
"trade_openness","SEN","NAM",TRUE,NA
"trade_openness","SEN","SYC",TRUE,NA
"trade_openness","SEN","IRQ",TRUE,NA
"trade_openness","TGO","BGD",TRUE,NA
"trade_openness","TGO","BTN",TRUE,NA
"trade_openness","TGO","BOL",TRUE,NA
"trade_openness","TGO","BWA",TRUE,NA
"trade_openness","TGO","CPV",TRUE,NA
"trade_openness","TGO","ECU",TRUE,NA
"trade_openness","TGO","MUS",TRUE,NA
"trade_openness","TGO","MAR",TRUE,NA
"trade_openness","TGO","NAM",TRUE,NA
"trade_openness","TGO","SYC",TRUE,NA
"trade_openness","TGO","IRQ",TRUE,NA
"trade_openness","CMR","BGD",TRUE,NA
"trade_openness","CMR","BTN",TRUE,NA
"trade_openness","CMR","BOL",TRUE,NA
"trade_openness","CMR","BWA",TRUE,NA
"trade_openness","CMR","CPV",TRUE,NA
"trade_openness","CMR","ECU",TRUE,NA
"trade_openness","CMR","MUS",TRUE,NA
"trade_openness","CMR","MAR",TRUE,NA
"trade_openness","CMR","NAM",TRUE,NA
"trade_openness","CMR","SYC",TRUE,NA
"trade_openness","CMR","IRQ",TRUE,NA
"trade_openness","CAF","BGD",TRUE,NA
"trade_openness","CAF","BTN",TRUE,NA
"trade_openness","CAF","BOL",TRUE,NA
"trade_openness","CAF","BWA",TRUE,NA
"trade_openness","CAF","CPV",TRUE,NA
"trade_openness","CAF","ECU",TRUE,NA
"trade_openness","CAF","MUS",TRUE,NA
"trade_openness","CAF","MAR",TRUE,NA
"trade_openness","CAF","NAM",TRUE,NA
"trade_openness","CAF","SYC",TRUE,NA
"trade_openness","CAF","IRQ",TRUE,NA
"trade_openness","TCD","BGD",TRUE,NA
"trade_openness","TCD","BTN",TRUE,NA
"trade_openness","TCD","BOL",TRUE,NA
"trade_openness","TCD","BWA",TRUE,NA
"trade_openness","TCD","CPV",TRUE,NA
"trade_openness","TCD","ECU",TRUE,NA
"trade_openness","TCD","MUS",TRUE,NA
"trade_openness","TCD","MAR",TRUE,NA
"trade_openness","TCD","NAM",TRUE,NA
"trade_openness","TCD","SYC",TRUE,NA
"trade_openness","TCD","IRQ",TRUE,NA
"trade_openness","COG","BGD",TRUE,NA
"trade_openness","COG","BTN",TRUE,NA
