Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1980,1980,%,14.135395,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1981,1981,%,14.232568,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1982,1982,%,14.290452,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1983,1983,%,14.068081,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1984,1984,%,13.969461,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1985,1985,%,14.116414,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1986,1986,%,14.718431,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1987,1987,%,14.579872,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1988,1988,%,12.956229,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1989,1989,%,13.476359,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1990,1990,%,12.802953,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1991,1991,%,12.44519,X,Figure from external organization,
MK,Macro Indicators,GNQ,Equatorial Guinea,6103,Share of GDP US$,22016,"Value Added (Agriculture, Forestry and Fishing)",1992,1992,%,10.913355,X,Figure from external organization,
