"iso3c","country","outcome","n_years","n_missing","n_missing_pre","n_missing_post","first_non_missing_year","last_non_missing_year","group"
"GNQ","Equatorial Guinea","exports_gdp",40,0,0,0,1980,2019,"CAEMC"
"TCD","Chad","exports_gdp",40,0,0,0,1980,2019,"CAEMC"
"BGD","Bangladesh","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"BOL","Bolivia","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"BRB","Barbados","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"BTN","Bhutan","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"BWA","Botswana","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"CPV","Cabo Verde","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"DMA","Dominica","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"ECU","Ecuador","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"GRD","Grenada","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"GUY","Guyana","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"IRQ","Iraq","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"KNA","St. Kitts and Nevis","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"LAO","Lao PDR","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"LCA","St. Lucia","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"LSO","Lesotho","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"MAR","Morocco","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"MUS","Mauritius","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"NAM","Namibia","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"SWZ","Eswatini","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"SYC","Seychelles","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"TKM","Turkmenistan","exports_gdp",40,0,0,0,1980,2019,"Donor pool"
"AGO","Angola","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"BDI","Burundi","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"COD","Congo, Dem. Rep.","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"ETH","Ethiopia","exports_gdp",41,0,0,0,1980,2019,"Non-donor comparison"
"GHA","Ghana","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"GIN","Guinea","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"GMB","Gambia, The","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"KEN","Kenya","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"MDG","Madagascar","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"MWI","Malawi","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"NGA","Nigeria","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"SDN","Sudan","exports_gdp",41,0,0,0,1980,2019,"Non-donor comparison"
"SLE","Sierra Leone","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"STP","Sao Tome and Principe","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"TZA","Tanzania","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"UGA","Uganda","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"ZMB","Zambia","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"ZWE","Zimbabwe","exports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"BEN","Benin","exports_gdp",40,0,0,0,1980,2019,"WAEMU"
"BFA","Burkina Faso","exports_gdp",40,0,0,0,1980,2019,"WAEMU"
"CIV","Côte d'Ivoire","exports_gdp",40,0,0,0,1980,2019,"WAEMU"
"MLI","Mali","exports_gdp",40,0,0,0,1980,2019,"WAEMU"
"NER","Niger","exports_gdp",40,0,0,0,1980,2019,"WAEMU"
"SEN","Senegal","exports_gdp",40,0,0,0,1980,2019,"WAEMU"
"TGO","Togo","exports_gdp",40,0,0,0,1980,2019,"WAEMU"
"CAF","Central African Republic","imports_gdp",40,0,0,0,1980,2019,"CAEMC"
"CMR","Cameroon","imports_gdp",40,0,0,0,1980,2019,"CAEMC"
"COG","Republic of Congo","imports_gdp",40,0,0,0,1980,2019,"CAEMC"
"GAB","Gabon","imports_gdp",40,0,0,0,1980,2019,"CAEMC"
"GNQ","Equatorial Guinea","imports_gdp",40,0,0,0,1980,2019,"CAEMC"
"TCD","Chad","imports_gdp",40,0,0,0,1980,2019,"CAEMC"
"BGD","Bangladesh","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"BOL","Bolivia","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"BRB","Barbados","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"BTN","Bhutan","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"BWA","Botswana","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"CPV","Cabo Verde","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"DMA","Dominica","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"ECU","Ecuador","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"GRD","Grenada","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"GUY","Guyana","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
