"outcome","treated_iso3c","treated_country","predictor","Treated","Synthetic","Sample Mean"
"MEU","BFA","Burkina Faso","fdi",0.236,1.549,3.111
"MEU","BFA","Burkina Faso","labour",44.33,34.209,36.628
"MEU","BFA","Burkina Faso","polity2",-5.524,-4.036,1.286
"MEU","BFA","Burkina Faso","special.outcome_selected.1981.2001",41.503,41.284,19.488
"MEU","BFA","Burkina Faso","special.outcome_selected.1981",48.246,42.397,19.662
"MEU","BFA","Burkina Faso","special.outcome_selected.1990",42.729,40.226,20.298
"MEU","BFA","Burkina Faso","special.outcome_selected.1995",42.513,40.738,19.303
"MEU","BFA","Burkina Faso","special.outcome_selected.2001",34.458,42.076,18.66
"MEU","CIV","Côte d'Ivoire","agriculture",24.739,14.608,15.232
"MEU","CIV","Côte d'Ivoire","govt_share",0.19,0.2,0.232
"MEU","CIV","Côte d'Ivoire","invest_share",0.069,0.265,0.209
"MEU","CIV","Côte d'Ivoire","oda_share",62006783.003,39661777.75,53508604.243
"MEU","CIV","Côte d'Ivoire","fdi",1.084,1.29,3.111
"MEU","CIV","Côte d'Ivoire","labour",32.908,31.694,36.628
"MEU","CIV","Côte d'Ivoire","polity2",-6.238,-1.979,1.286
"MEU","CIV","Côte d'Ivoire","special.outcome_selected.1981.2001",48.336,47.249,19.488
"MEU","CIV","Côte d'Ivoire","special.outcome_selected.1981",48.24,46.737,19.662
"MEU","CIV","Côte d'Ivoire","special.outcome_selected.1990",47.254,47.153,20.298
"MEU","CIV","Côte d'Ivoire","special.outcome_selected.1995",50.123,47.223,19.303
"MEU","CIV","Côte d'Ivoire","special.outcome_selected.2001",40.032,49.11,18.66
"MEU","MLI","Mali","agriculture",35.121,16.772,15.232
"MEU","MLI","Mali","govt_share",0.276,0.219,0.232
"MEU","MLI","Mali","invest_share",0.103,0.287,0.209
"MEU","MLI","Mali","oda_share",128499263.951,15280028.365,53508604.243
"MEU","MLI","Mali","fdi",0.743,1.409,3.111
"MEU","MLI","Mali","labour",30.635,32.648,36.628
"MEU","MLI","Mali","polity2",-1.238,5.164,1.286
"MEU","MLI","Mali","special.outcome_selected.1981.2001",36.416,35.263,19.488
"MEU","MLI","Mali","special.outcome_selected.1981",44.455,35.131,19.662
"MEU","MLI","Mali","special.outcome_selected.1990",38.382,38.246,20.298
"MEU","MLI","Mali","special.outcome_selected.1995",29.276,35.19,19.303
"MEU","MLI","Mali","special.outcome_selected.2001",32.94,35.022,18.66
"MEU","NER","Niger","agriculture",35.395,16.126,15.232
"MEU","NER","Niger","govt_share",0.246,0.216,0.232
"MEU","NER","Niger","invest_share",0.126,0.222,0.209
"MEU","NER","Niger","oda_share",107937703.746,32775146.557,53508604.243
"MEU","NER","Niger","fdi",0.26,1.262,3.111
"MEU","NER","Niger","labour",41.966,31.914,36.628
"MEU","NER","Niger","polity2",-1.81,0.871,1.286
"MEU","NER","Niger","special.outcome_selected.1981.2001",36.99,35.742,19.488
"MEU","NER","Niger","special.outcome_selected.1981",43.846,34.976,19.662
"MEU","NER","Niger","special.outcome_selected.1990",39.994,36.575,20.298
"MEU","NER","Niger","special.outcome_selected.1995",35.098,33.741,19.303
"MEU","NER","Niger","special.outcome_selected.2001",26.252,34.031,18.66
"MEU","SEN","Senegal","agriculture",18.993,12.768,15.232
"MEU","SEN","Senegal","govt_share",0.196,0.182,0.232
"MEU","SEN","Senegal","invest_share",0.062,0.276,0.209
"MEU","SEN","Senegal","oda_share",70979836.861,31704417.381,53508604.243
"MEU","SEN","Senegal","fdi",0.617,1.239,3.111
"MEU","SEN","Senegal","labour",32.619,32.537,36.628
"MEU","SEN","Senegal","polity2",-0.143,-0.142,1.286
"MEU","SEN","Senegal","special.outcome_selected.1981.2001",49.314,49.106,19.488
"MEU","SEN","Senegal","special.outcome_selected.1981",46.37,47.739,19.662
"MEU","SEN","Senegal","special.outcome_selected.1990",51.894,49.849,20.298
"MEU","SEN","Senegal","special.outcome_selected.1995",49.596,50.725,19.303
"MEU","SEN","Senegal","special.outcome_selected.2001",49.137,52.671,18.66
"MEU","TGO","Togo","agriculture",23.36,17.757,15.232
"MEU","TGO","Togo","govt_share",0.162,0.189,0.232
"MEU","TGO","Togo","invest_share",0.19,0.289,0.209
"MEU","TGO","Togo","oda_share",30775463.654,42944018.004,53508604.243
"MEU","TGO","Togo","fdi",0.543,1.407,3.111
"MEU","TGO","Togo","labour",40.022,33.598,36.628
"MEU","TGO","Togo","polity2",-4.667,-4.001,1.286
"MEU","TGO","Togo","special.outcome_selected.1981.2001",48.376,47.729,19.488
"MEU","TGO","Togo","special.outcome_selected.1981",53.061,49.154,19.662
"MEU","TGO","Togo","special.outcome_selected.1990",52.068,47.293,20.298
"MEU","TGO","Togo","special.outcome_selected.1995",49.512,48.4,19.303
"MEU","TGO","Togo","special.outcome_selected.2001",39.335,50.901,18.66
"MEU","CMR","Cameroon","agriculture",21.849,13.621,15.232
"MEU","CMR","Cameroon","govt_share",0.165,0.188,0.232
"MEU","CMR","Cameroon","invest_share",0.127,0.315,0.209
"MEU","CMR","Cameroon","oda_share",44162037.211,40209373.645,53508604.243
"MEU","CMR","Cameroon","fdi",0.706,1.344,3.111
"MEU","CMR","Cameroon","labour",40.356,31.69,36.628
"MEU","CMR","Cameroon","polity2",-6,-3.039,1.286
"MEU","CMR","Cameroon","special.outcome_selected.1981.2001",57.076,55.954,19.488
"MEU","CMR","Cameroon","special.outcome_selected.1981",58.874,55.794,19.662
"MEU","CMR","Cameroon","special.outcome_selected.1990",63.514,55.716,20.298
"MEU","CMR","Cameroon","special.outcome_selected.1995",49.166,57.924,19.303
"MEU","CMR","Cameroon","special.outcome_selected.2001",44.678,60.926,18.66
"MEU","CAF","Central African Republic","agriculture",37.869,13.522,15.232
"MEU","CAF","Central African Republic","govt_share",0.223,0.184,0.232
"MEU","CAF","Central African Republic","invest_share",0.12,0.374,0.209
"MEU","CAF","Central African Republic","oda_share",41521332.154,30873036.894,53508604.243
"MEU","CAF","Central African Republic","fdi",0.371,1.454,3.111
