"outcome","treated_iso3c","treated_country","pre_rmspe","post_rmspe","rmspe_ratio","avg_post_gap","avg_abs_post_gap","outcome_label"
"trade_openness","BFA","Burkina Faso",4.19499527561548,13.7822077172617,3.28539290553542,5.94886351547068,12.5094323744767,"Trade openness (% of GDP)"
"trade_openness","CAF","Central African Republic",8.34778885017352,21.9551123770957,2.63005123526086,-20.4208729037801,20.4208729037801,"Trade openness (% of GDP)"
"trade_openness","CIV","Côte d'Ivoire",8.3595930323586,23.475677966105,2.80823215618685,-21.1050495883992,21.1050495883992,"Trade openness (% of GDP)"
"trade_openness","CMR","Cameroon",8.29045472007201,13.530933113889,1.63210988670251,-12.610579890965,12.610579890965,"Trade openness (% of GDP)"
"trade_openness","COG","Republic of Congo",18.946756309427,16.4579949465554,0.868644462290715,5.94353619131568,13.9608634427085,"Trade openness (% of GDP)"
"trade_openness","GAB","Gabon",9.19533578323239,24.4047946714353,2.65404061871641,-23.3685446763328,23.3685446763328,"Trade openness (% of GDP)"
"trade_openness","GNQ","Equatorial Guinea",0.826196977216585,24.3684386653089,29.4947080869321,-19.7454126728678,20.1333135016046,"Trade openness (% of GDP)"
"trade_openness","MLI","Mali",5.6767063127701,5.6570928543345,0.996544922820566,1.61592252151406,4.57768142340523,"Trade openness (% of GDP)"
"trade_openness","NER","Niger",11.0479679427795,12.4351545913157,1.12556034337906,-11.0790757142869,11.3107508821122,"Trade openness (% of GDP)"
"trade_openness","SEN","Senegal",7.90415757652682,6.71058809507799,0.848994725890409,-1.47040741108632,5.44954058891356,"Trade openness (% of GDP)"
"trade_openness","TCD","Chad",6.47279957696012,27.2431237411696,4.20886255124309,8.65549457309042,20.0595136051078,"Trade openness (% of GDP)"
"trade_openness","TGO","Togo",30.0818164541192,24.7672761532632,0.823330472447976,-23.592221759503,23.592221759503,"Trade openness (% of GDP)"
