"treated_iso3c","treated_country","placebo_iso3c","placebo_country","success","error_message"
"GNQ","Equatorial Guinea","KNA","St. Kitts and Nevis",TRUE,NA
"GNQ","Equatorial Guinea","LAO","Lao PDR",TRUE,NA
"GNQ","Equatorial Guinea","LCA","St. Lucia",TRUE,NA
"GNQ","Equatorial Guinea","LSO","Lesotho",TRUE,NA
"GNQ","Equatorial Guinea","MAR","Morocco",TRUE,NA
"GNQ","Equatorial Guinea","MUS","Mauritius",TRUE,NA
"GNQ","Equatorial Guinea","NAM","Namibia",TRUE,NA
"GNQ","Equatorial Guinea","SWZ","Eswatini",TRUE,NA
"GNQ","Equatorial Guinea","SYC","Seychelles",TRUE,NA
"GNQ","Equatorial Guinea","TKM","Turkmenistan",TRUE,NA
